# ====================================
# NWChem linear response TDDFT parser 
# ====================================
#
# Date NWChem run : Tue Nov 16 13:50:39 2010
# NWChem branch   : 6.0
# Input deck      : 2h2o.nw
#
# Linear response TDDFT spectrum.
# Roots were artificially broadened by 1.00000e-01 eV.
#
#  Energy [eV]      Oscil. str.
#----------------------------------
 5.75205940e+00    4.65607967e-06
 5.76736191e+00    4.69824688e-06
 5.78266442e+00    4.74109967e-06
 5.79796692e+00    4.78465587e-06
 5.81326943e+00    4.82893399e-06
 5.82857194e+00    4.87395327e-06
 5.84387445e+00    4.91973370e-06
 5.85917696e+00    4.96629605e-06
 5.87447946e+00    5.01366194e-06
 5.88978197e+00    5.06185389e-06
 5.90508448e+00    5.11089533e-06
 5.92038699e+00    5.16081069e-06
 5.93568950e+00    5.21162544e-06
 5.95099200e+00    5.26336615e-06
 5.96629451e+00    5.31606058e-06
 5.98159702e+00    5.36973770e-06
 5.99689953e+00    5.42442783e-06
 6.01220204e+00    5.48016267e-06
 6.02750454e+00    5.53697541e-06
 6.04280705e+00    5.59490083e-06
 6.05810956e+00    5.65397539e-06
 6.07341207e+00    5.71423735e-06
 6.08871458e+00    5.77572689e-06
 6.10401708e+00    5.83848626e-06
 6.11931959e+00    5.90255988e-06
 6.13462210e+00    5.96799453e-06
 6.14992461e+00    6.03483951e-06
 6.16522712e+00    6.10314684e-06
 6.18052962e+00    6.17297145e-06
 6.19583213e+00    6.24437138e-06
 6.21113464e+00    6.31740807e-06
 6.22643715e+00    6.39214660e-06
 6.24173966e+00    6.46865599e-06
 6.25704216e+00    6.54700952e-06
 6.27234467e+00    6.62728508e-06
 6.28764718e+00    6.70956561e-06
 6.30294969e+00    6.79393946e-06
 6.31825220e+00    6.88050096e-06
 6.33355470e+00    6.96935091e-06
 6.34885721e+00    7.06059717e-06
 6.36415972e+00    7.15435537e-06
 6.37946223e+00    7.25074966e-06
 6.39476474e+00    7.34991349e-06
 6.41006724e+00    7.45199063e-06
 6.42536975e+00    7.55713619e-06
 6.44067226e+00    7.66551780e-06
 6.45597477e+00    7.77731701e-06
 6.47127728e+00    7.89273079e-06
 6.48657978e+00    8.01197329e-06
 6.50188229e+00    8.13527779e-06
 6.51718480e+00    8.26289901e-06
 6.53248731e+00    8.39511568e-06
 6.54778982e+00    8.53223353e-06
 6.56309232e+00    8.67458871e-06
 6.57839483e+00    8.82255177e-06
 6.59369734e+00    8.97653229e-06
 6.60899985e+00    9.13698419e-06
 6.62430236e+00    9.30441201e-06
 6.63960486e+00    9.47937823e-06
 6.65490737e+00    9.66251193e-06
 6.67020988e+00    9.85451891e-06
 6.68551239e+00    1.00561938e-05
 6.70081490e+00    1.02684345e-05
 6.71611740e+00    1.04922594e-05
 6.73141991e+00    1.07288279e-05
 6.74672242e+00    1.09794658e-05
 6.76202493e+00    1.12456952e-05
 6.77732744e+00    1.15292724e-05
 6.79262994e+00    1.18322328e-05
 6.80793245e+00    1.21569478e-05
 6.82323496e+00    1.25061952e-05
 6.83853747e+00    1.28832470e-05
 6.85383998e+00    1.32919809e-05
 6.86914248e+00    1.37370220e-05
 6.88444499e+00    1.42239245e-05
 6.89974750e+00    1.47594072e-05
 6.91505001e+00    1.53516612e-05
 6.93035252e+00    1.60107563e-05
 6.94565502e+00    1.67491834e-05
 6.96095753e+00    1.75825872e-05
 6.97626004e+00    1.85307684e-05
 6.99156255e+00    1.96190725e-05
 7.00686506e+00    2.08803424e-05
 7.02216756e+00    2.23577082e-05
 7.03747007e+00    2.41086366e-05
 7.05277258e+00    2.62109154e-05
 7.06807509e+00    2.87716625e-05
 7.08337760e+00    3.19411484e-05
 7.09868010e+00    3.59344106e-05
 7.11398261e+00    4.10656339e-05
 7.12928512e+00    4.78035006e-05
 7.14458763e+00    5.68602556e-05
 7.15989014e+00    6.93305471e-05
 7.17519264e+00    8.68830618e-05
 7.19049515e+00    1.11912323e-04
 7.20579766e+00    1.47145320e-04
 7.22110017e+00    1.92967391e-04
 7.23640268e+00    2.39728054e-04
 7.25170518e+00    2.62102533e-04
 7.26700769e+00    2.42114403e-04
 7.28231020e+00    1.96424344e-04
 7.29761271e+00    1.50822162e-04
 7.31291522e+00    1.15667720e-04
 7.32821772e+00    9.08279620e-05
 7.34352023e+00    7.35973666e-05
 7.35882274e+00    6.15502819e-05
 7.37412525e+00    5.29877887e-05
 7.38942776e+00    4.67944936e-05
 7.40473026e+00    4.22452966e-05
 7.42003277e+00    3.88639294e-05
 7.43533528e+00    3.63319543e-05
 7.45063779e+00    3.44321828e-05
 7.46594030e+00    3.30135466e-05
 7.48124280e+00    3.19690342e-05
 7.49654531e+00    3.12215986e-05
 7.51184782e+00    3.07149866e-05
 7.52715033e+00    3.04076592e-05
 7.54245284e+00    3.02686883e-05
 7.55775534e+00    3.02749412e-05
 7.57305785e+00    3.04091189e-05
 7.58836036e+00    3.06583731e-05
 7.60366287e+00    3.10133194e-05
 7.61896538e+00    3.14673286e-05
 7.63426788e+00    3.20160171e-05
 7.64957039e+00    3.26568802e-05
 7.66487290e+00    3.33890330e-05
 7.68017541e+00    3.42130328e-05
 7.69547792e+00    3.51307652e-05
 7.71078042e+00    3.61453823e-05
 7.72608293e+00    3.72612859e-05
 7.74138544e+00    3.84841491e-05
 7.75668795e+00    3.98209774e-05
 7.77199046e+00    4.12802054e-05
 7.78729296e+00    4.28718350e-05
 7.80259547e+00    4.46076158e-05
 7.81789798e+00    4.65012757e-05
 7.83320049e+00    4.85688095e-05
 7.84850300e+00    5.08288366e-05
 7.86380550e+00    5.33030442e-05
 7.87910801e+00    5.60167331e-05
 7.89441052e+00    5.89994957e-05
 7.90971303e+00    6.22860561e-05
 7.92501554e+00    6.59173197e-05
 7.94031804e+00    6.99416909e-05
 7.95562055e+00    7.44167367e-05
 7.97092306e+00    7.94113044e-05
 7.98622557e+00    8.50082373e-05
 8.00152808e+00    9.13078877e-05
 8.01683058e+00    9.84327032e-05
 8.03213309e+00    1.06533274e-04
 8.04743560e+00    1.15796397e-04
 8.06273811e+00    1.26455940e-04
 8.07804062e+00    1.38807690e-04
 8.09334312e+00    1.53229881e-04
 8.10864563e+00    1.70212022e-04
 8.12394814e+00    1.90395986e-04
 8.13925065e+00    2.14635566e-04
 8.15455316e+00    2.44084322e-04
 8.16985566e+00    2.80327581e-04
 8.18515817e+00    3.25584628e-04
 8.20046068e+00    3.83024343e-04
 8.21576319e+00    4.57266574e-04
 8.23106570e+00    5.55188609e-04
 8.24636820e+00    6.87223156e-04
 8.26167071e+00    8.69387715e-04
 8.27697322e+00    1.12611787e-03
 8.29227573e+00    1.49267264e-03
 8.30757824e+00    2.01014775e-03
 8.32288074e+00    2.68857867e-03
 8.33818325e+00    3.39630463e-03
 8.35348576e+00    3.76486399e-03
 8.36878827e+00    3.50466832e-03
 8.38409078e+00    2.84041033e-03
 8.39939328e+00    2.16504635e-03
 8.41469579e+00    1.64743802e-03
 8.42999830e+00    1.29248462e-03
 8.44530081e+00    1.06350389e-03
 8.46060332e+00    9.28713201e-04
 8.47590582e+00    8.69677652e-04
 8.49120833e+00    8.79493976e-04
 8.50651084e+00    9.56070276e-04
 8.52181335e+00    1.08287240e-03
 8.53711586e+00    1.19272746e-03
 8.55241836e+00    1.17798295e-03
 8.56772087e+00    1.01838684e-03
 8.58302338e+00    8.09275828e-04
 8.59832589e+00    6.27876805e-04
 8.61362840e+00    4.92260941e-04
