# ====================================
# NWChem linear response TDDFT parser 
# ====================================
#
# Date NWChem run : Tue Nov 16 10:00:59 2010
# NWChem branch   : 6.0
# Input deck      : h2o.nw
#
# Linear response TDDFT spectrum.
# Roots were artificially broadened by 1.00000e-01 eV.
#
#  Energy [eV]      Oscil. str.
#----------------------------------
 6.50617430e+00    1.71804815e-05
 6.55466144e+00    1.77130372e-05
 6.60314858e+00    1.82861459e-05
 6.65163572e+00    1.89051050e-05
 6.70012286e+00    1.95761779e-05
 6.74861001e+00    2.03068179e-05
 6.79709715e+00    2.11059565e-05
 6.84558429e+00    2.19843774e-05
 6.89407143e+00    2.29552051e-05
 6.94255857e+00    2.40345527e-05
 6.99104571e+00    2.52423891e-05
 7.03953285e+00    2.66037159e-05
 7.08801999e+00    2.81501862e-05
 7.13650714e+00    2.99223674e-05
 7.18499428e+00    3.19729559e-05
 7.23348142e+00    3.43714312e-05
 7.28196856e+00    3.72109354e-05
 7.33045570e+00    4.06186800e-05
 7.37894284e+00    4.47721047e-05
 7.42742998e+00    4.99247210e-05
 7.47591712e+00    5.64488668e-05
 7.52440427e+00    6.49092574e-05
 7.57289141e+00    7.61954196e-05
 7.62137855e+00    9.17733638e-05
 7.66986569e+00    1.14195826e-04
 7.71835283e+00    1.48221717e-04
 7.76683997e+00    2.03525350e-04
 7.81532711e+00    3.02119161e-04
 7.86381425e+00    5.02154200e-04
 7.91230139e+00    9.89391363e-04
 7.96078854e+00    2.42240156e-03
 8.00927568e+00    4.38351508e-03
 8.05776282e+00    2.14396281e-03
 8.10624996e+00    8.98873438e-04
 8.15473710e+00    4.70566149e-04
 8.20322424e+00    2.90720600e-04
 8.25171138e+00    2.01000068e-04
 8.30019852e+00    1.50557640e-04
 8.34868567e+00    1.19730262e-04
 8.39717281e+00    9.97378624e-05
 8.44565995e+00    8.62107350e-05
 8.49414709e+00    7.67852172e-05
 8.54263423e+00    7.00964319e-05
 8.59112137e+00    6.53141412e-05
 8.63960851e+00    6.19118065e-05
 8.68809565e+00    5.95442275e-05
 8.73658280e+00    5.79792397e-05
 8.78506994e+00    5.70578912e-05
 8.83355708e+00    5.66703661e-05
 8.88204422e+00    5.67409959e-05
 8.93053136e+00    5.72187184e-05
 8.97901850e+00    5.80709272e-05
 9.02750564e+00    5.92795085e-05
 9.07599278e+00    6.08383526e-05
 9.12447992e+00    6.27519111e-05
 9.17296707e+00    6.50345484e-05
 9.22145421e+00    6.77105527e-05
 9.26994135e+00    7.08147525e-05
 9.31842849e+00    7.43937551e-05
 9.36691563e+00    7.85078877e-05
 9.41540277e+00    8.32339920e-05
 9.46388991e+00    8.86693201e-05
 9.51237705e+00    9.49369025e-05
 9.56086420e+00    1.02192947e-04
 9.60935134e+00    1.10637107e-04
 9.65783848e+00    1.20526881e-04
 9.70632562e+00    1.32198117e-04
 9.75481276e+00    1.46094687e-04
 9.80329990e+00    1.62812306e-04
 9.85178704e+00    1.83164687e-04
 9.90027418e+00    2.08286022e-04
 9.94876133e+00    2.39794365e-04
 9.99724847e+00    2.80060968e-04
 1.00457356e+01    3.32671631e-04
 1.00942227e+01    4.03253190e-04
 1.01427099e+01    5.01034647e-04
 1.01911970e+01    6.41989053e-04
 1.02396842e+01    8.55664647e-04
 1.02881713e+01    1.20153094e-03
 1.03366585e+01    1.81312290e-03
 1.03851456e+01    3.03705109e-03
 1.04336327e+01    5.95768223e-03
 1.04821199e+01    1.44628396e-02
 1.05306070e+01    2.91086970e-02
 1.05790942e+01    1.56434670e-02
 1.06275813e+01    6.35314901e-03
 1.06760684e+01    3.19149530e-03
 1.07245556e+01    1.88976352e-03
 1.07730427e+01    1.24813174e-03
 1.08215299e+01    8.89256196e-04
 1.08700170e+01    6.69734938e-04
 1.09185041e+01    5.26362253e-04
 1.09669913e+01    4.27983453e-04
 1.10154784e+01    3.57864976e-04
 1.10639656e+01    3.06391173e-04
 1.11124527e+01    2.67728874e-04
 1.11609399e+01    2.38179671e-04
 1.12094270e+01    2.15311896e-04
 1.12579141e+01    1.97478241e-04
 1.13064013e+01    1.83535384e-04
 1.13548884e+01    1.72674746e-04
 1.14033756e+01    1.64317042e-04
 1.14518627e+01    1.58044891e-04
 1.15003498e+01    1.53558942e-04
 1.15488370e+01    1.50649082e-04
 1.15973241e+01    1.49175687e-04
 1.16458113e+01    1.49057957e-04
 1.16942984e+01    1.50267568e-04
 1.17427855e+01    1.52826805e-04
 1.17912727e+01    1.56810937e-04
 1.18397598e+01    1.62355254e-04
 1.18882470e+01    1.69667923e-04
 1.19367341e+01    1.79050802e-04
 1.19852213e+01    1.90931959e-04
 1.20337084e+01    2.05916303e-04
 1.20821955e+01    2.24865384e-04
 1.21306827e+01    2.49026103e-04
 1.21791698e+01    2.80244691e-04
 1.22276570e+01    3.21336070e-04
 1.22761441e+01    3.76750720e-04
 1.23246312e+01    4.53845366e-04
 1.23731184e+01    5.65466794e-04
 1.24216055e+01    7.35640620e-04
 1.24700927e+01    1.01339914e-03
 1.25185798e+01    1.51087726e-03
 1.25670669e+01    2.52631252e-03
 1.26155541e+01    5.01988560e-03
 1.26640412e+01    1.23703920e-02
 1.27125284e+01    2.14265794e-02
 1.27610155e+01    1.01561756e-02
 1.28095027e+01    4.29751401e-03
 1.28579898e+01    2.27268683e-03
 1.29064769e+01    1.41748927e-03
 1.29549641e+01    9.90330517e-04
 1.30034512e+01    7.51222488e-04
 1.30519384e+01    6.06808869e-04
 1.31004255e+01    5.15258838e-04
 1.31489126e+01    4.55742671e-04
 1.31973998e+01    4.17035749e-04
 1.32458869e+01    3.92728126e-04
 1.32943741e+01    3.79014342e-04
 1.33428612e+01    3.73596556e-04
 1.33913484e+01    3.75109492e-04
 1.34398355e+01    3.82808398e-04
 1.34883226e+01    3.96399381e-04
 1.35368098e+01    4.15953486e-04
 1.35852969e+01    4.41876000e-04
 1.36337841e+01    4.74918720e-04
 1.36822712e+01    5.16233307e-04
 1.37307583e+01    5.67472538e-04
 1.37792455e+01    6.30956348e-04
 1.38277326e+01    7.09934159e-04
 1.38762198e+01    8.08999476e-04
 1.39247069e+01    9.34756792e-04
 1.39731940e+01    1.09692470e-03
 1.40216812e+01    1.31022710e-03
 1.40701683e+01    1.59777974e-03
 1.41186555e+01    1.99747920e-03
 1.41671426e+01    2.57483832e-03
 1.42156298e+01    3.45082890e-03
 1.42641169e+01    4.86830923e-03
 1.43126040e+01    7.37074226e-03
 1.43610912e+01    1.23623057e-02
 1.44095783e+01    2.42115350e-02
 1.44580655e+01    5.86007400e-02
 1.45065526e+01    1.20933407e-01
 1.45550397e+01    6.68977145e-02
 1.46035269e+01    2.69686644e-02
 1.46520140e+01    1.34063706e-02
 1.47005012e+01    7.85177275e-03
