  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
           4.2084        3.181923E-03        3.259196E-03
           8.4167        3.170589E-03        3.325812E-03
          12.6251        2.709384E-03        2.909921E-03
          16.8335        2.593996E-03        2.851996E-03
          21.0419        2.584260E-03        2.908044E-03
          25.2502        2.593877E-03        2.986863E-03
          29.4586        2.720263E-03        3.204754E-03
          33.6670        2.815366E-03        3.392756E-03
          37.8754        3.000556E-03        3.698029E-03
          42.0837        3.235697E-03        4.077593E-03
          46.2921        3.481735E-03        4.485554E-03
          50.5005        4.008827E-03        5.278850E-03
          54.7089        4.591053E-03        6.178075E-03
          58.9172        5.415873E-03        7.446391E-03
          63.1256        5.394969E-03        7.577408E-03
          67.3340        6.410437E-03        9.195850E-03
          71.5423        6.888952E-03        1.009133E-02
          75.7507        8.482598E-03        1.268626E-02
          79.9591        9.935540E-03        1.516788E-02
          84.1675        1.309825E-02        2.040773E-02
          88.3758        1.674903E-02        2.662803E-02
          92.5842        2.222740E-02        3.605173E-02
          96.7926        3.287376E-02        5.438700E-02
         101.0010        4.736900E-02        7.992255E-02
         105.2093        8.801848E-02        1.514257E-01
         109.4177        1.529508E-01        2.682562E-01
         113.6261        4.397982E-01        7.862237E-01
         117.8345        8.026994E-01        1.462389E+00
         122.0428        6.385956E-01        1.185430E+00
         126.2512        2.448957E-01        4.631218E-01
         130.4596        1.108718E-01        2.135616E-01
         134.6679        6.628663E-02        1.300291E-01
         138.8763        4.112158E-02        8.213381E-02
         143.0847        3.186432E-02        6.479180E-02
         147.2931        2.182490E-02        4.517074E-02
         151.5014        1.947859E-02        4.102782E-02
         155.7098        1.456301E-02        3.121156E-02
         159.9182        1.435362E-02        3.129658E-02
         164.1266        1.296538E-02        2.875546E-02
         168.3349        1.615029E-02        3.642873E-02
         172.5433        2.894236E-02        6.638281E-02
         176.7517        3.871330E-02        9.027556E-02
         180.9601        2.852802E-02        6.762394E-02
         185.1684        1.701744E-02        4.099903E-02
         189.3768        1.368829E-02        3.351279E-02
         193.5852        1.326399E-02        3.299518E-02
         197.7935        1.212991E-02        3.065364E-02
         202.0019        9.309908E-03        2.389745E-02
         206.2103        6.806595E-03        1.774404E-02
         210.4187        5.602576E-03        1.483070E-02
         214.6270        5.502993E-03        1.478972E-02
         218.8354        4.816372E-03        1.314027E-02
         223.0438        5.156489E-03        1.427903E-02
         227.2522        4.703902E-03        1.321907E-02
         231.4605        5.197838E-03        1.482182E-02
         235.6689        4.706466E-03        1.361598E-02
         239.8773        5.375842E-03        1.577666E-02
         244.0857        5.527860E-03        1.645435E-02
         248.2940        8.041605E-03        2.427516E-02
         252.5024        1.041922E-02        3.189273E-02
         256.7108        6.870075E-03        2.132050E-02
         260.9191        4.223179E-03        1.328610E-02
         265.1275        3.338685E-03        1.064630E-02
         269.3359        3.294280E-03        1.064617E-02
         273.5443        3.226492E-03        1.056617E-02
         277.7526        3.385916E-03        1.123473E-02
         281.9610        3.335427E-03        1.121201E-02
         286.1694        3.554351E-03        1.210275E-02
         290.3778        3.399438E-03        1.172385E-02
         294.5861        3.574058E-03        1.248279E-02
         298.7945        3.709699E-03        1.311971E-02
         303.0029        4.064532E-03        1.455394E-02
         307.2113        4.086822E-03        1.481460E-02
         311.4196        4.454298E-03        1.634436E-02
         315.6280        4.845251E-03        1.799453E-02
         319.8364        4.744569E-03        1.783232E-02
         324.0447        4.872793E-03        1.853224E-02
         328.2531        4.839326E-03        1.862201E-02
         332.4615        5.290603E-03        2.059641E-02
         336.6699        5.178249E-03        2.039239E-02
         340.8782        5.807593E-03        2.313314E-02
         345.0866        5.682244E-03        2.289109E-02
         349.2950        6.438863E-03        2.623128E-02
         353.5034        6.388742E-03        2.631756E-02
         357.7117        7.211229E-03        3.003420E-02
         361.9201        7.379340E-03        3.107121E-02
         366.1285        8.182279E-03        3.482624E-02
         370.3369        8.773860E-03        3.774618E-02
         374.5452        8.431063E-03        3.665840E-02
         378.7536        9.543046E-03        4.193208E-02
         382.9620        1.005126E-02        4.462808E-02
         387.1703        1.109028E-02        4.975292E-02
         391.3787        1.094516E-02        4.960757E-02
         395.5871        1.298246E-02        5.944202E-02
         399.7955        1.291357E-02        5.972497E-02
         404.0038        1.545021E-02        7.217380E-02
         408.2122        1.574150E-02        7.426596E-02
         412.4206        1.851694E-02        8.822153E-02
         416.6290        1.975277E-02        9.502967E-02
         420.8373        2.249506E-02        1.092719E-01
         425.0457        2.549873E-02        1.250532E-01
         429.2541        2.801857E-02        1.387211E-01
         433.4625        3.405043E-02        1.701787E-01
         437.6708        3.721233E-02        1.877248E-01
         441.8792        4.800488E-02        2.444214E-01
         446.0876        5.131212E-02        2.636694E-01
         450.2959        6.904636E-02        3.580422E-01
         454.5043        7.683929E-02        4.020668E-01
         458.7127        1.076086E-01        5.681353E-01
         462.9211        1.290511E-01        6.874247E-01
         467.1294        1.891569E-01        1.016514E+00
         471.3378        2.604892E-01        1.412142E+00
         475.5462        4.206776E-01        2.300411E+00
         479.7546        7.325933E-01        4.040702E+00
         483.9629        1.505281E+00        8.373752E+00
         488.1713        4.154461E+00        2.330756E+01
         492.3797        5.838695E+00        3.303309E+01
         496.5881        3.542003E+00        2.020717E+01
         500.7964        1.222177E+00        7.030499E+00
         505.0048        6.605353E-01        3.831033E+00
         509.2132        3.620960E-01        2.117311E+00
         513.4215        2.563630E-01        1.511230E+00
         517.6299        1.771283E-01        1.052570E+00
         521.8383        1.372822E-01        8.223172E-01
         526.0467        1.129754E-01        6.820956E-01
         530.2550        9.335367E-02        5.680722E-01
         534.4634        9.514959E-02        5.835325E-01
         538.6718        9.626595E-02        5.949658E-01
         542.8802        1.620491E-01        1.009259E+00
         547.0885        2.745913E-01        1.723279E+00
         551.2969        3.228339E-01        2.041442E+00
         555.5053        1.950315E-01        1.242590E+00
         559.7137        8.721716E-02        5.598448E-01
         563.9220        7.192399E-02        4.651135E-01
         568.1304        7.732232E-02        5.037172E-01
         572.3388        6.211830E-02        4.076393E-01
         576.5471        3.427079E-02        2.265338E-01
         580.7555        2.670281E-02        1.777857E-01
         584.9639        2.017553E-02        1.352926E-01
         589.1723        1.879819E-02        1.269560E-01
         593.3806        1.584003E-02        1.077358E-01
         597.5890        1.581904E-02        1.083503E-01
         601.7974        1.447298E-02        9.982382E-02
         606.0058        1.572441E-02        1.092084E-01
         610.2141        1.498732E-02        1.048073E-01
         614.4225        1.027804E-02        7.236751E-02
         618.6309        9.687351E-03        6.867282E-02
         622.8393        9.111169E-03        6.502513E-02
         627.0476        8.508504E-03        6.113198E-02
         631.2560        8.975790E-03        6.491983E-02
         635.4644        8.814214E-03        6.417400E-02
         639.6727        6.886116E-03        5.046640E-02
         643.8811        7.116586E-03        5.249695E-02
         648.0895        6.056168E-03        4.496522E-02
         652.2979        6.158439E-03        4.602017E-02
         656.5062        5.635756E-03        4.238488E-02
         660.7146        5.324104E-03        4.029668E-02
         664.9230        5.334580E-03        4.063215E-02
         669.1314        4.799523E-03        3.678727E-02
         673.3397        4.597580E-03        3.546027E-02
         677.5481        4.142074E-03        3.214603E-02
         681.7565        4.337020E-03        3.386736E-02
         685.9649        3.910742E-03        3.072652E-02
         690.1732        4.129704E-03        3.264535E-02
         694.3816        3.696425E-03        2.939794E-02
         698.5900        3.753848E-03        3.003506E-02
         702.7983        3.542275E-03        2.851252E-02
         707.0067        3.463364E-03        2.804386E-02
         711.2151        3.437355E-03        2.799853E-02
         715.4235        3.238808E-03        2.653703E-02
         719.6318        3.347661E-03        2.758990E-02
         723.8402        3.080991E-03        2.554031E-02
         728.0486        3.220413E-03        2.685095E-02
         732.2570        3.014944E-03        2.528283E-02
         736.4653        3.150748E-03        2.657322E-02
         740.6737        3.151478E-03        2.673099E-02
         744.8821        2.828013E-03        2.412339E-02
         749.0905        2.633927E-03        2.259454E-02
         753.2988        2.982385E-03        2.572721E-02
         757.5072        3.039446E-03        2.636569E-02
         761.7156        2.934219E-03        2.559410E-02
         765.9239        3.135216E-03        2.749820E-02
         770.1323        2.994892E-03        2.641159E-02
         774.3407        3.247494E-03        2.879555E-02
         778.5491        3.192212E-03        2.845901E-02
         782.7574        3.391299E-03        3.039713E-02
         786.9658        3.498738E-03        3.152855E-02
         791.1742        3.612931E-03        3.273150E-02
         795.3826        4.017747E-03        3.659236E-02
         799.5909        4.055805E-03        3.713423E-02
