  Freq. (cm^{-1})             VDOS-Si             VDOS-Cl            VDOS-all
           4.2084        2.844799E-05        1.626016E-01        1.626301E-01
           8.4167        3.259709E-05        6.622426E-02        6.625686E-02
          12.6251        2.923746E-05        3.371341E-02        3.374265E-02
          16.8335        3.212648E-05        2.251680E-02        2.254893E-02
          21.0419        3.045884E-05        1.623556E-02        1.626602E-02
          25.2502        3.150852E-05        1.365895E-02        1.369046E-02
          29.4586        3.203371E-05        1.148871E-02        1.152075E-02
          33.6670        3.102260E-05        1.041150E-02        1.044252E-02
          37.8754        3.375396E-05        9.710985E-03        9.744739E-03
          42.0837        3.101310E-05        8.888498E-03        8.919511E-03
          46.2921        3.555743E-05        8.924439E-03        8.959997E-03
          50.5005        3.205920E-05        8.152306E-03        8.184365E-03
          54.7089        3.825276E-05        8.522207E-03        8.560460E-03
          58.9172        3.312718E-05        7.882517E-03        7.915644E-03
          63.1256        3.602787E-05        8.279007E-03        8.315035E-03
          67.3340        3.396736E-05        7.956908E-03        7.990875E-03
          71.5423        3.713553E-05        8.188886E-03        8.226022E-03
          75.7507        3.647947E-05        8.327205E-03        8.363684E-03
          79.9591        3.857364E-05        8.338623E-03        8.377197E-03
          84.1675        4.030597E-05        9.032151E-03        9.072456E-03
          88.3758        4.000869E-05        9.072692E-03        9.112701E-03
          92.5842        4.444897E-05        1.058192E-02        1.062637E-02
          96.7926        4.253617E-05        1.190318E-02        1.194572E-02
         101.0010        4.946140E-05        1.680277E-02        1.685223E-02
         105.2093        4.754341E-05        3.191697E-02        3.196452E-02
         109.4177        5.629713E-05        5.039384E-02        5.045013E-02
         113.6261        5.407066E-05        4.233463E-02        4.238871E-02
         117.8345        7.364504E-05        2.417953E-02        2.425318E-02
         122.0428        7.313410E-05        1.713874E-02        1.721187E-02
         126.2512        7.768185E-05        1.353095E-02        1.360863E-02
         130.4596        8.074578E-05        1.165345E-02        1.173419E-02
         134.6679        9.356463E-05        1.066521E-02        1.075877E-02
         138.8763        1.061936E-04        1.091989E-02        1.102609E-02
         143.0847        1.239401E-04        1.016433E-02        1.028827E-02
         147.2931        1.533661E-04        1.108491E-02        1.123828E-02
         151.5014        1.894530E-04        1.042751E-02        1.061696E-02
         155.7098        2.646586E-04        1.162493E-02        1.188959E-02
         159.9182        3.713718E-04        1.141022E-02        1.178159E-02
         164.1266        6.405465E-04        1.298265E-02        1.362319E-02
         168.3349        1.263817E-03        1.468212E-02        1.594594E-02
         172.5433        3.346194E-03        2.131964E-02        2.466583E-02
         176.7517        4.864460E-03        2.746776E-02        3.233222E-02
         180.9601        3.179330E-03        2.230674E-02        2.548607E-02
         185.1684        1.198055E-03        1.742849E-02        1.862654E-02
         189.3768        6.835207E-04        1.517442E-02        1.585794E-02
         193.5852        5.619959E-04        1.673532E-02        1.729731E-02
         197.7935        4.498946E-04        1.548610E-02        1.593600E-02
         202.0019        2.973396E-04        1.644643E-02        1.674377E-02
         206.2103        1.787233E-04        1.543801E-02        1.561674E-02
         210.4187        1.297958E-04        1.676729E-02        1.689709E-02
         214.6270        1.081343E-04        1.685337E-02        1.696151E-02
         218.8354        9.029658E-05        1.770371E-02        1.779401E-02
         223.0438        8.659558E-05        1.886895E-02        1.895555E-02
         227.2522        7.612759E-05        1.891553E-02        1.899166E-02
         231.4605        8.245978E-05        2.119332E-02        2.127578E-02
         235.6689        7.674644E-05        2.056984E-02        2.064659E-02
         239.8773        9.271439E-05        2.384412E-02        2.393684E-02
         244.0857        9.901808E-05        2.289857E-02        2.299759E-02
         248.2940        1.663053E-04        2.672339E-02        2.688970E-02
         252.5024        2.463452E-04        2.610859E-02        2.635493E-02
         256.7108        1.731936E-04        2.986947E-02        3.004267E-02
         260.9191        8.233512E-05        3.038665E-02        3.046898E-02
         265.1275        5.395713E-05        3.339476E-02        3.344872E-02
         269.3359        4.652939E-05        3.603569E-02        3.608222E-02
         273.5443        4.533386E-05        3.779868E-02        3.784402E-02
         277.7526        4.600069E-05        4.318062E-02        4.322662E-02
         281.9610        4.500363E-05        4.368405E-02        4.372906E-02
         286.1694        4.870870E-05        5.213813E-02        5.218683E-02
         290.3778        4.583937E-05        5.195857E-02        5.200441E-02
         294.5861        4.919905E-05        6.327166E-02        6.332085E-02
         298.7945        4.905925E-05        6.412048E-02        6.416954E-02
         303.0029        5.700565E-05        7.799605E-02        7.805305E-02
         307.2113        5.533295E-05        8.235403E-02        8.240936E-02
         311.4196        6.067053E-05        9.769728E-02        9.775795E-02
         315.6280        6.170939E-05        1.098271E-01        1.098888E-01
         319.8364        6.672434E-05        1.264096E-01        1.264763E-01
         324.0447        7.001577E-05        1.531084E-01        1.531784E-01
         328.2531        7.003192E-05        1.728205E-01        1.728905E-01
         332.4615        7.831133E-05        2.252557E-01        2.253340E-01
         336.6699        7.553129E-05        2.557035E-01        2.557790E-01
         340.8782        8.809073E-05        3.574809E-01        3.575690E-01
         345.0866        8.373105E-05        4.261979E-01        4.262817E-01
         349.2950        9.946528E-05        6.440343E-01        6.441338E-01
         353.5034        9.591620E-05        8.605442E-01        8.606401E-01
         357.7117        1.138660E-04        1.481625E+00        1.481739E+00
         361.9201        1.161066E-04        2.521466E+00        2.521582E+00
         366.1285        1.408307E-04        6.194386E+00        6.194527E+00
         370.3369        1.559452E-04        1.484162E+01        1.484178E+01
         374.5452        1.281086E-04        1.726014E+01        1.726027E+01
         378.7536        1.321174E-04        9.193962E+00        9.194094E+00
         382.9620        1.392909E-04        3.279786E+00        3.279926E+00
         387.1703        1.576085E-04        1.816514E+00        1.816671E+00
         391.3787        1.549918E-04        9.987317E-01        9.988867E-01
         395.5871        1.873522E-04        7.129947E-01        7.131820E-01
         399.7955        1.842499E-04        4.767457E-01        4.769299E-01
         404.0038        2.241574E-04        3.710415E-01        3.712656E-01
         408.2122        2.259988E-04        2.812772E-01        2.815032E-01
         412.4206        2.690902E-04        2.236827E-01        2.239518E-01
         416.6290        2.855520E-04        1.869255E-01        1.872111E-01
         420.8373        3.263993E-04        1.481814E-01        1.485078E-01
         425.0457        3.707476E-04        1.334726E-01        1.338434E-01
         429.2541        4.038578E-04        1.053637E-01        1.057676E-01
         433.4625        4.884225E-04        9.968071E-02        1.001691E-01
         437.6708        5.317602E-04        7.937484E-02        7.990661E-02
         441.8792        6.907077E-04        7.661498E-02        7.730569E-02
         446.0876        7.310101E-04        6.277853E-02        6.350954E-02
         450.2959        9.876975E-04        6.011467E-02        6.110237E-02
         454.5043        1.093019E-03        5.166343E-02        5.275645E-02
         458.7127        1.537203E-03        4.820035E-02        4.973755E-02
         462.9211        1.833473E-03        4.396166E-02        4.579513E-02
         467.1294        2.689312E-03        3.979434E-02        4.248365E-02
         471.3378        3.691062E-03        3.876656E-02        4.245762E-02
         475.5462        5.951159E-03        3.496624E-02        4.091740E-02
         479.7546        1.034165E-02        3.749149E-02        4.783314E-02
         483.9629        2.120376E-02        3.926555E-02        6.046931E-02
         488.1713        5.843500E-02        5.972326E-02        1.181583E-01
         492.3797        8.183268E-02        6.734413E-02        1.491768E-01
         496.5881        4.951086E-02        5.116578E-02        1.006766E-01
         500.7964        1.707436E-02        3.122952E-02        4.830387E-02
         505.0048        9.198090E-03        2.518551E-02        3.438360E-02
         509.2132        5.045632E-03        2.145938E-02        2.650501E-02
         513.4215        3.560336E-03        1.930040E-02        2.286073E-02
         517.6299        2.465343E-03        1.816211E-02        2.062746E-02
         521.8383        1.904559E-03        1.619587E-02        1.810043E-02
         526.0467        1.574231E-03        1.608397E-02        1.765820E-02
         530.2550        1.298108E-03        1.413923E-02        1.543734E-02
         534.4634        1.331905E-03        1.447556E-02        1.580746E-02
         538.6718        1.347038E-03        1.282499E-02        1.417202E-02
         542.8802        2.275338E-03        1.351970E-02        1.579504E-02
         547.0885        3.819377E-03        1.314909E-02        1.696847E-02
         551.2969        4.341971E-03        1.340479E-02        1.774677E-02
         555.5053        2.584205E-03        1.159915E-02        1.418335E-02
         559.7137        1.152277E-03        1.062499E-02        1.177727E-02
         563.9220        9.313144E-04        1.017848E-02        1.110979E-02
         568.1304        9.968305E-04        9.573530E-03        1.057036E-02
         572.3388        8.010369E-04        9.504047E-03        1.030508E-02
         576.5471        4.435199E-04        8.500652E-03        8.944172E-03
         580.7555        3.392597E-04        8.647275E-03        8.986534E-03
         584.9639        2.593205E-04        7.738904E-03        7.998225E-03
         589.1723        2.375161E-04        7.992188E-03        8.229704E-03
         593.3806        2.013982E-04        7.227654E-03        7.429052E-03
         597.5890        1.986465E-04        7.403187E-03        7.601834E-03
         601.7974        1.803316E-04        6.874419E-03        7.054751E-03
         606.0058        1.887905E-04        6.903947E-03        7.092738E-03
         610.2141        1.759780E-04        6.655033E-03        6.831011E-03
         614.4225        1.267293E-04        6.235996E-03        6.362725E-03
         618.6309        1.173799E-04        6.186832E-03        6.304212E-03
         622.8393        1.145031E-04        5.801511E-03        5.916014E-03
         627.0476        1.106809E-04        5.935388E-03        6.046069E-03
         631.2560        1.080131E-04        5.484559E-03        5.592572E-03
         635.4644        1.024211E-04        5.658042E-03        5.760463E-03
         639.6727        8.322983E-05        5.246101E-03        5.329330E-03
         643.8811        8.364590E-05        5.381727E-03        5.465373E-03
         648.0895        7.270979E-05        5.089760E-03        5.162470E-03
